PT,SO,AU,TI,VL,PY,AB,Relevance to article,species,common name,Class,Methods,Method classification,Notes,Read?,Personality,Mate choice and Sexual selection,Reproduction and Fecundity,Parental Care,Communication,Foraging,Predator avoidance,Locomotion,Migration,Life history,Social behavior,Cooperation,Learning,Plasticity,Phenotypic gambit,IGE,GxE,Human
 J, AMERICAN JOURNAL OF MEDICAL GENETICS," PHILLIPS, K   MATHENY, APAF PHILLIPS, K   MATHENY, AP", QUANTITATIVE GENETIC-ANALYSIS OF INJURY LIABILITY IN INFANTS AND   TODDLERS,60,1995," A threshold model of latent liability was applied to infant and toddler twin data on total count of injuries sustained during the interval from birth to 36 months of age. A quantitative genetic analysis of estimated twin correlations in injury liability indicated strong genetic dominance effects, but no additive genetic variance was detected. Because interpretations involving overdominance have little research support, the results may be due to low order epistasis or other interaction effects. Boys had more injuries than girls, but this effect was found only for groups whose parents were prompted and questioned in detail about their children's injuries. Activity and impulsivity are two behavioral predictors of childhood injury, and the results are discussed in relation to animal research on infant and adult activity levels, and impulsivity in adult humans. Genetic epidemiological approaches to childhood injury should aid in targeting higher risk children for preventive intervention. (C) 1995 Wiley-Liss, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, BEHAVIOURAL BRAIN RESEARCH," SCHWEGLER, H   CRUSIO, WEAF SCHWEGLER, H   CRUSIO, WE", CORRELATIONS BETWEEN RADIAL-MAZE LEARNING AND STRUCTURAL VARIATIONS OF   SEPTUM AND HIPPOCAMPUS IN RODENTS,67,1995," Large, but non-pathological, individual differences in neuroanatomy of the brain exist in rodents, which have been shown to covary with behavioral traits. In the present review, we explore the relationship between variations in the extent of the intra- and infrapyramidal messy fiber projection of the hippocampus and spatial and non-spatial learning capacities in mice and rats. Preliminary data concerning anatomical variation in the septo-hippocampal cholinergic system and its consequences for individual behavior are also presented. We conclude that the hippocampal intra- and infrapyramidal messy fiber projection is intimately involved in the regulation of spatial, but not of non-spatial learning capabilities. Although lesion studies have shown that a well-functioning cholinergic system is a prerequisite for performance in spatial learning tasks, our preliminary data suggest that individual differences in the cholinergic system do not explain individual differences in learning.",not relevant,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J," ADVANCES IN THE STUDY OF BEHAVIOR, VOL 24"," KELLER, L   REEVE, HKAF KELLER, L   REEVE, HK", WHY DO FEMALES MATE WITH MULTIPLE MALES - THE SEXUALLY SELECTED SPERM   HYPOTHESIS,24,1995,"review of the sexually selected sperm hypothesis, theory and empirical work",not really useful for the quantitative genetics side,,,,review,,not relevant,no,,x,,,,,,,,,,,,,,,,not human
 J, REPRODUCTION FERTILITY AND DEVELOPMENT," Birkhead, TRAF Birkhead, TR", Sperm competition: Evolutionary causes and consequences,7,1995," The interaction between functional and mechanistic approaches to sperm competition and between male and female perspectives are described and illustrated by a study of the zebra finch, Taeniopygia guttata. Sperm competition experiments in the laboratory show that last male sperm precedence occurs (as it does in many other taxa) although the mechanism is unknown (as in most other taxa). Empirically-derived values were used to construct a mathematical model of sperm competition in the zebra finch. The model indicates that precedence occurs as a consequence of: (i) the temporal pattern of pair copulations; (ii) the rate at which sperm are lost from the female tract; and (iii) more sperm being transferred during extra-pair copulations than during pair copulations. The latter effect is a consequence of males seeking extra-pair copulations after their own pair copulation period has ended. The effect of sperm numbers on the pattern of sperm precedence may be further increased by: (i) extra-pair males increasing ejaculate size (sperm numbers) (for which there is no evidence); (ii) extra-pair males being of a better quality and transferring more sperm or better quality sperm (for which there is some evidence); and (iii) cryptic female choice. Females eject over 99% of sperm following insemination; if they eject fewer sperm from males chosen as extra-pair copulation partners, the potential for cryptic female choice is considerable. However, this is still being investigated. The model also predicts the optimal time for an extra-pair copulation to occur (from either a male or female perspective). A comparison between the predicted and observed pattern suggests that the optimal timing of extra-pair copulations is constrained in both sexes.",not quantitative genetics,Taeniopygia guttata,zebra finch,Aves,mathematical model of sperm competition,,not quantitative genetics,no,,x,x,,,,,,,,,,,,,,,not human
 J, ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH," RODRIGUEZ, LA   PLOMIN, R   BLIZARD, DA   JONES, BC   MCCLEARN, GEAF RODRIGUEZ, LA   PLOMIN, R   BLIZARD, DA   JONES, BC   MCCLEARN, GE"," ALCOHOL ACCEPTANCE, PREFERENCE, AND SENSITIVITY IN MICE .1. QUANTITATIVE   GENETIC-ANALYSIS USING BXD RECOMBINANT INBRED STRAINS",18,1994," Although the recombinant inbred strain method was designed for molecular genetic analysis of linkage, it also provides powerful quantitative genetic analyses of heritability and genetic correlations. Measures of alcohol acceptance, alcohol preference, and hypnotic dose sensitivity (HDS) were assessed in 21 strains of mice from the BXD RI series. Sex differences were found to be significant at a phenotypic level. However, heritability estimates for acceptance, preference, and HDS are similar in males and females. Heritability estimates for the three measures are similar to 0.20 for acceptance and preference, and 0.10 for HDS. Analyses of genetic correlations reveal that acceptance and preference share some degree of genetic influence, although they mostly operate under different genetically mediated mechanisms. HDS did not show a significant genetic relationship to either acceptance or preference. Strong correlations were obtained when acceptance, preference, and HDS strain means were correlated across male and female recombinant inbreds, suggesting substantial genetic similarity across sexes.",alcohol acceptance and preference were heritble and had some genetic correlations. ,Mus musculus,mouse,Mammalia,recombinant inbred strains to estimate heritability and genetic correlations,inbred lines,focuses on alcohol preferences and acceptance - i guess those are behaviors,probably not,,,,,,x,,,,,,,,,,,,not human
 J, JOURNAL OF FISH BIOLOGY," SIH, AAF SIH, A", PREDATION RISK AND THE EVOLUTIONARY ECOLOGY OF REPRODUCTIVE-BEHAVIOR,45,1994," A large literature exists on the effects of predation risk on foraging and survival-related behaviours. In contrast, with some notable exceptions, relatively few theoretical or experimental studies have examined the effects of predation risk on reproductive behaviours. Existing literature on risk and reproductive behaviour and suggestion directions for future study are reviewed. In particular: (1) effects on predation risk on mating behaviour; (2) the influence of spatial patchiness on interactions between risk and reproductive behaviour; (3) the potential influence of multi-species interactions on the effects of predation risk on mating dynamics; (4) the importance of looking at sets of inter-related antipredator traits; and (5) some effects of predation risk on prey population patterns due to changes in prey reproductive behaviour are discussed. To illustrate various points examples involving fish and other aquatic organisms are used.",effects of predation risk on reproductive behaviors - review and future directions,,,,review,,probably not useful,no,,,x,,,,x,,,,,,,,,,,not human
 J, WORLDS POULTRY SCIENCE JOURNAL," BAUMGARTNER, JAF BAUMGARTNER, J"," JAPANESE-QUAIL PRODUCTION, BREEDING AND GENETICS",50,1994," In various parts of the world the farming of Japanese quail is becoming more popular and, arising from the potential the species has to convert feed into valuable human food, this trend seems likely to continue. In most countries egg and meat production from Japanese quail are combined and form single enterprises. This review outlines the present status of commercial quail production and, reflecting also the importance of Japanese quail in poultry and biomedical research, draws together data relating to the quantitative genetics of meat and egg production, behavioural and biochemical traits, together with the genetics of qualitative traits, cytogenetics and hybridization.",commercial quail production including data around te quantitative genetics of meat and egg production and behavioral traits,Coturnix japonica,Japanese quail,Aves,review,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF   AMERICA," JANZEN, FJAF JANZEN, FJ", CLIMATE-CHANGE AND TEMPERATURE-DEPENDENT SEX DETERMINATION IN REPTILES,91,1994," Despite Increasing concern over the possible impact of global temperature change, there is little empirical evidence of direct temperature effects on biotic interactions in natural systems. Clear assessment of the ecological and evolutionary impact of changing climatic temperature requires a natural system in which populations exhibit a direct unambiguous fitness response to thermal fluctuation. I monitored nests of a population of painted turtles (Chrysemys picta) with temperature-dependent sex determination to investigate the causal relationship between local climatic variation in temperature and offspring sex ratio. Consistent with theoretical predictions, annual offspring sex ratio was highly correlated with mean July air temperature, validating concerns about the effect of climate change on population demography. This correlation implies that even modest increases in mean temperature (<2 degrees C) may drastically skew the sex ratio. Statistical evaluation of the variance in climate change indicates that an increase in mean temperature of 4 degrees C would effectively eliminate production of male offspring. Quantitative genetic analyses and behavioral data suggest that populations with temperature-dependent sex determination may be unable to evolve rapidly enough to counteract the negative fitness consequences of rapid global temperature change. Populations of species with temperature-dependent sex determination may serve as ideal indicators of the biological impact of global temperature change.",not quantitative genetics,Chrysemys picta,painted turtles,Reptilia,observed sex ratios in the field,,"""quantittive genetic analysis suggest tath populations with temperature dependent sex determination may be unable to evolve rapidly enough to counteract negative fitness consequences of rapid global temperature change"" - didn't actually do quant gen",no,,,x,,,,,,,,,,,,,,,not human
 J, AUK," ELLSWORTH, DL   HONEYCUTT, RL   SILVY, NJ   RITTENHOUSE, KD   SMITH, MHAF ELLSWORTH, DL   HONEYCUTT, RL   SILVY, NJ   RITTENHOUSE, KD   SMITH, MH", MITOCHONDRIAL-DNA AND NUCLEAR-GENE DIFFERENTIATION IN NORTH-AMERICAN   PRAIRIE GROUSE (GENUS TYMPANUCHUS),111,1994," The fragmentary effects of Pleistocene glacial activity have been implicated in speciation among avifauna endemic to the Central Plains of North America.  The prairie-grouse complex (genus Tympanuchus), distributed throughout the central United States and Canada, contains three sister taxa believed to have originated from the expansion of late Pleistocene refugial populations.  We assayed mitochondrial-DNA (mtDNA) restriction-site and allozyme variation in prairie grouse obtained from localities throughout their current range in North America to examine the nature and timing of events promoting differentiation in Tympanuchus.  The genetic data were not consistent with Pleistocene isolation of sufficient duration to allow a taxonomically or geographically structured pattern of genetic variation to emerge.  No clear genetic differences among species were observed.  Allozymes could not distinguish populations belonging to different species and frequencies were generally similar across taxa.  The mtDNA differentiation was characterized by a predominant haplotype shared by all taxa; the remainder (15) were generally infrequent and closely related to the prevalent (and presumably ancestral) haplotype.  The presence of unique mtDNA haplotypes within species and absence of certain allozyme alleles from particular taxa implied a degree of isolation and restrictions to gene flow.  However, the mtDNA haplotypes did not sort phylogenetically, which suggests recent common ancestry of the lineages and may explain the lack of congruence between genetic variation and species designations.  Despite the absence of quantitative genetic differentiation, considerable morphological and behavioral differences are apparent among the putative species.  Adult male plumage, vocalization structures, and courtship behaviors form the basis for taxonomic divisions among prairie grouse, but, considering their close association with reproduction, such characters may be subject to sexual selection and may evolve rapidly relative to mtDNA or allozymes.",not quantitative genetics andd not behavior,Tympanuchus,prairie grouse,Aves,mtDNA and allozymes to investigate genetic differentiation,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, SCIENCE," PLOMIN, R   OWEN, MJ   MCGUFFIN, PAF PLOMIN, R   OWEN, MJ   MCGUFFIN, P", THE GENETIC-BASIS OF COMPLEX HUMAN BEHAVIORS,264,1994," Quantitative genetic research has built a strong case for the importance of genetic factors in many complex behavioral disorders and dimensions in the domains of psychopathology, personality, and cognitive abilities. Quantitative genetics can also provide an empirical guide and a conceptual framework for the application of molecular genetics. The success of molecular genetics in elucidating the genetic basis of behavioral disorders has largely relied on a reductionistic one gene, one disorder (OGOD) approach in which a single gene is necessary and sufficient to develop a disorder. In contrast, a quantitative trait loci (QTL) approach involves the search for multiple genes, each of which is neither necessary nor sufficient for the development of a trait. The OGOD and QTL approaches have both advantages and disadvantages for identifying genes that affect complex human behaviors.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, JOURNAL OF ANIMAL SCIENCE," NEWMAN, SAF NEWMAN, S", QUANTITATIVE-GENETIC AND MOLECULAR-GENETIC EFFECTS ON ANIMAL WELL-BEING   - ADAPTIVE-MECHANISMS,72,1994," Domestic farm animals play an important role in meeting some basic needs of humankind, especially food and clothing. The aspects of genetic improvement programs in livestock production pertinent to animal welfare and animal well-being are reviewed. A link is made between the evolutionary processes of adaptation and domestication and animal well-being. Animal behavior is a component of all these. Thus, the genetics of behavior may provide clues to the well-being of farm animal populations, and it will also be of relevance to public opinion issues of animal welfare. Many expressions of behavior by domestic livestock may be influenced by those processes that change gene as well as genotypic frequencies such as inbreeding, drift, and artificial selection. The environment in which the individual lives will also play a role, along with the interaction between genotype and environment. Selection for or against such behaviors as aggressiveness, docility, response to stress, and certain sexual behaviors in some livestock species has often been successful. This points to the existence of additive genetic variation for behavior, and scope for the inclusion of behavioral traits into selection programs, if these measures are shown to be related to welfare. Negative relationships between behaviors associated with well-being and traits of economic importance have been reported in most livestock species. However, estimates of genetic parameters, especially genetic correlations between objective measures of well-being and production traits, are scarce. There have been no comprehensive studies of the welfare of transgenic animals reported in the scientific literature. Increased use of biotechnology in animal agriculture, coupled with greater public scrutiny of livestock industries, may precipitate decisions concerning the interface of behavior and genetics that need to be addressed before scientists can conduct appropriate experimental evaluations.",estimates of genetic parameters are scarce,,,,review,,outdated - not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, BEHAVIOR GENETICS," PLOMIN, R   PEDERSEN, NL   LICHTENSTEIN, P   MCCLEARN, GEAF PLOMIN, R   PEDERSEN, NL   LICHTENSTEIN, P   MCCLEARN, GE", VARIABILITY AND STABILITY IN COGNITIVE-ABILITIES ARE LARGELY GENETIC   LATER IN LIFE,24,1994," The powerful quantitative genetic design of identical and fraternal twins reared apart (112 pairs) and matched twins reared together (111 pairs) was employed to assess the extent of genetic influence on individual differences in cognitive abilities during the last half of the life span. General cognitive ability yielded a heritability estimate of about .80 in two assessments 3 years apart as part of the Swedish Adoption/Twin Study of Aging. This is one of the highest heritabilities reported for a behavioral trait. Across the two ages, average heritabilities are about .60 for verbal tests, .50 for spatial and speed-of-processing tests, and .40 for memory tests. For general cognitive ability, the phenotypic stability across the 3 years is .92 and stable genetic factors account for nearly 90% this stability. These findings suggest that general cognitive ability is a reasonable target for research that aims to identify specific genes for complex traits.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, GENETICS," ORZACK, SH   GLADSTONE, JAF ORZACK, SH   GLADSTONE, J"," QUANTITATIVE GENETICS OF SEX-RATIO TRAITS IN THE PARASITIC WASP,   NASONIA-VITRIPENNIS",137,1994," We detected significant parent-offspring regressions for the first sex ratio (the sex ratio produced by a female in a fresh host) and the second sex ratio (the sex ratio produced by a female in a previously parasitized host) in the parasitic wasp, Nasonia vitripennis. For both traits, estimates of the narrow-sense heritability range from approximate to 0.05 to approximate to 0.15 (depending on how the data are analyzed). The study population was derived from isofemale strains created from wasps captured in a single bird nest. The same population exhibited no significant parent-offspring regression for the brood sizes associated with the first and second sex ratios. There may be a significant negative parent-offspring regression for diapause proportion in the first sex ratio broods. The estimates of the genetic correlations between first and second sex ratios are positive although almost all are not significantly different from 0.0. To our knowledge, this study is the first ''fine-scale'' analysis of genetic variation for sex ratio traits in any species of insect. Such studies are an essential part of the assessment of the validity of claims that sex ratio traits are locally optimal.",not behavior,Nasonia vitripennis,parasitic wasp,Insecta,parent-offspring regressions from isofemale strains,"parent-offspring regression, inbred lines",investigated sex ratio produced by a female on a fresh host and sex ratio produced by a female in a previously parasitized host. ,no,,,,,,,,,,,,,,,,,,not human
 J, EXPERIMENTAL AGING RESEARCH," WHITFIELD, KEAF WHITFIELD, KE", THE USE OF QUANTITATIVE GENETIC METHODOLOGY TO GAIN INSIGHTS INTO THE   ORIGINS OF INDIVIDUAL-DIFFERENCES IN LATER LIFE,20,1994," There is great interest in the interindividual variability in aged populations. Knowledge of the etiology of these individual differences may lead to a more comprehensive understanding of aging. The purpose of this article is to discuss the use of quantitative genetic (or behavioral genetic) methodology to identify sources of individual variation in later life. These methods can provide insights into the proportion of environmental and genetic influences on behavior. Some of the basic procedures used in quantitative genetic analyses and their rationales are provided. In addition, the use of structural equation modeling to model genetic and environmental effects is discussed. Lastly, some of the special issues involved in quantitative genetic research on aged populations are discussed.",using quantitative genetics to understand variation in aging populations,,,,position paper,,use of quantitative genetic methods to identify sourcces of individual variation in later life. ,no,x,,,,,,,,,,,,,,,,,not human
 J, JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION," RUTLEDGE, LC   GUPTA, RK   PIPER, GN   LOWE, CAAF RUTLEDGE, LC   GUPTA, RK   PIPER, GN   LOWE, CA", STUDIES ON THE INHERITANCE OF REPELLENT TOLERANCES IN AEDES-AEGYPTI,10,1994," Two laboratory strains and 6 inbred strains of Aedes aegypti were tested against deet, ethyl hexanediol, dimethyl phthalate, and Indalone(R). Reciprocal crosses and backcrosses of 2 inbred strains were tested against deet only. Results obtained were compatible with a quantitative genetic model in which the effects of the factors involved were multiplicative. Certain inbred strains differed significantly from cognate laboratory and/or inbred strains in tolerance to one or more test materials. Heritability in the broad sense (H-2) was estimated at 0.05 for deet, 0.22 for ethyl hexanediol, 0.48 for dimethyl phthalate, and 0.51 for Indalone. Partial dominance was observed in the inheritance of tolerance to deet.",tested with different anti mosquito formulas and found multiplicative effects of factors and heritability was estimted --not behavior,Aedes aegypti,mosquito,Insecta,reciprocal crosses of inbred strains,"reciprocal cross, backcross, inbred lines",not behavior,no,,,,,,,,,,,,,,,,,,not human
 J, AMERICAN NATURALIST," ARNOLD, SJ   DUVALL, DAF ARNOLD, SJ   DUVALL, D", ANIMAL MATING SYSTEMS - A SYNTHESIS BASED ON SELECTION THEORY,143,1994," Following principles used by A. J. Bateman, we identify the relationship between fecundity and mating success as the central feature in the operation of mating systems. Using selection theory from the field of quantitative genetics, we define the sexual selection gradient as the average slope of the relationship between fecundity and mating success and show how it can be estimated from data. We argue that sexual selection gradients are the key to understanding how the intensity of sexual selection is affected by mate provisioning, parental investment, and sex ratio.",fecundity and mating success is the fundamental feature in mating systems and sexual selection,,,,model,,definition of sexula selection gradient - may or may not be useful to the chapter,yes,,x,x,,,,,,,,,,,,,,,not human
 J, ANALYST," ELSHAHAWI, MS   SMITH, WEAF ELSHAHAWI, MS   SMITH, WE"," SPECTROELECTROCHEMISTRY OF NICKEL(II) COMPLEXES OF   N,N'-BIS(SALICYLALDEHYDE)-O-PHENYLENEDIAMINE AND   N,N-BIS(2-HYDROXY-1-NAPHTHALDEHYDE)-O-PHENYLENEDIAMINE USING AN   OPTICALLY TRANSPARENT THIN-LAYER ELECTRODE",119,1994," The Schiff base nickel(II) complexes of N,N'-bis(salicylaldehyde)-o-phenylenediamine and N,N-bis(2-hydroxy-1-naphthaldehyde)-o-phenylenediamine provide an opportunity for the spectroelectrochemical investigation of the azomethazine and transition-metal chromosphores using a gold-mesh optically-transparent thin-layer electrode (OTTLE) in protic solvents. Cyclic voltammetry of these compounds showed a well ordered electrochemical behaviour with reductions in both the metal and ligand. All complexes showed two well defined electrode couples, Ni-I/Ni-II and Ni-II/Ni-III. The dependence of the electrochemical parameters on the solvent, supporting electrolyte, scan rate and the nature of the ligands is discussed. Application of the OTTLE cell technique to the study of the redox chemistry of the nickel(II) pigments tested proved efficient for the spectral and electrochemical characterization of the various oxidation states. The spectropotentiostatic experiments provided redox potentials, n values, close to those obtained by controlled potential coulometry and in agreement with those values predicted from the bulk cyclic voltammetry. The estimated standard electrode potential (E(0)) values agreed well with those obtained by Nernstian analysis, and facilitated the acquisition of E and n values, which are not readily obtained by conventional techniques. This was possible even for quasi-reversible reactions where the peak separation does not yield accurate n values. Exhaustive electrolysis of the small volume of solution in the OTTLE ensured the quantitative generation of a particular redox state without interference from extraneous redox reactions. The effect of an additional aromatic ring is to provide an additional redox couple. The electrochemical and spectral behaviours were in good agreement, which suggests that the phenomenon of colour fading in the complex and electrochemical changes produce similar trends.",not relevant,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, TRENDS IN ECOLOGY & EVOLUTION," MOORE, AJ   BOAKE, CRBAF MOORE, AJ   BOAKE, CRB", OPTIMALITY AND EVOLUTIONARY GENETICS - COMPLEMENTARY PROCEDURES FOR   EVOLUTIONARY ANALYSIS IN BEHAVIORAL ECOLOGY,9,1994," The concepts and tools of optimality and game theory are a major component of research in behavioural ecology. In contrast, the theory and practice of evolutionary, ecological, population and quantitative genetics have made less of an impact on those studying the evolution of animal behaviour. A more complete understanding of the evolution of behaviour can be achieved by pursuing research that combines optimality and genetics, thereby overcoming some of the limitations inherent in a single approach.",call for a combination of optimalitya nd genetics in modeling behavivor,,,,review/synthesis,,useful for understanding models of behavior,yes,,,,,,,,,,,,,,,,,,not human
 J, ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS," MORENO, GAF MORENO, G"," GENETIC ARCHITECTURE, GENETIC BEHAVIOR, AND CHARACTER EVOLUTION",25,1994," Nonadditive gene interaction or epistasis is a central component of hypotheses that postulate a creative role for small populations and founder events in character evolution and speciation. Because quantitative or small effect variation is considered to be the basis of evolutionary change, the claim that this variation shows mostly additive behavior has represented a serious obstacle for these hypotheses. The literature on classical phenotypic genetics as well as the contemporary counterpart of this work, developmental genetics, harbors a considerable wealth of information relevant to the issue of gene-character relationship. In particular, recent studies of gene interaction in Drosophila developmental genetics provide important insights into the structure and behavior of nonadditive gene action. It is proposed that the importance of these studies for population genetics lies in suggesting that the small-effect of at least some genetic variation can hide a potential for strong phenotypic effects which can be expressed through interlocus interactions within sets of functionally related loci. At the population level this genetic behavior implies that strong effects should become apparent in quantitative variation when the genotypic frequencies of the population are substantially disturbed. That at least some quantitative variation can show strong interaction effects with substantial disturbance of the population genotypic combinations is supported by results from quantitative genetic analyses of chromosome and inbred lines and long-term artificial selection on quantitative characters. An experiment comparing the genetic variance resulting from the same set of wild third-chromosomes in a wild type and mutant backgrounds revealed substantial amounts of unexpressed strong effects for a typical quantitative character in a wild population of Drosophila melanogaster. The claim that quantitative variation will show strong epistatic behavior under population disturbance is of fundamental importance for theories that postulate a positive role for small population size and population bottlenecks in phenotypic evolution and speciation.",not behavior,,,,,,not behavior,no,,,,,,,,,,,,,,,,,,not human
 J, BEHAVIOR GENETICS," DOLAN, CV   MOLENAAR, PCM   BOOMSMA, DIAF DOLAN, CV   MOLENAAR, PCM   BOOMSMA, DI", SIMULTANEOUS GENETIC-ANALYSIS OF MEANS AND COVARIANCE STRUCTURE -   PEARSON-LAWLEY SELECTION-RULES,24,1994, The object of this paper is to indicate that the Pearson-Lawley selection rules form a plausible general theory for the simultaneous genetic analysis of means and covariance structure. Models are presented based on phenotypic selection and latent selection. Previously presented quantitative genetic models to decompose means and covariance structure simultaneously are reconsidered as instances of latent selection. The selection rules are very useful in the context of behavior genetic modeling because they lead to testable models and a conceptual framework for explaining variation between and within groups by the same genetic and environmental factors.,selection rules are useful int he context of behavior genetic modeling,,,,theoretical models,,too in the weeds for this chapter,no,,,,,,,,,,,,,,,,,,not human
 J, HEREDITY," LI, JB   MARGOLIES, DCAF LI, JB   MARGOLIES, DC", RESPONSES TO DIRECT AND INDIRECT SELECTION ON AERIAL DISPERSAL BEHAVIOR   IN TETRANYCHUS-URTICAE,72,1994," Dispersal within and between hosts is an important element of arthropod life histories. This study was designed to assess adaptability of traits related to dispersal and colonization in the twospotted spider mite, Tetranychus urticae. Defining the flexibility of mite dispersal and life-history is necessary to understand the response of mites to changes in the spatial and temporal structure of their environment. We found significant direct response to bidirectional selection on aerial dispersal behaviour after eight and five generations of selection. The realized heritability estimated from these lines (h(2)=0.28) was in close agreement with that estimated in a previous sib-analysis on the base population. As predicted from the sib-analysis, there were no correlated responses in fecundity or sex ratio. Crosses between selected lines indicated that the dispersal behaviour was under weak maternal influence and that non-dispersal may be a slightly dominant trait. Mite sensitivity or resistance to starvation or desiccation, the major environmental cues triggering their behaviour, changed in response to selection. Results suggest that variation in aerial dispersal behaviour is largely attributed to different sensitivity or resistance to environmental stress and that genetic variation in this behaviour may be maintained by selection for dispersal when food resources become depleted and against when food is abundant. The dispersal behaviour itself, although not correlated with reproductive traits, may increase mite fitness in temporally and spatially fluctuating environments.",selection for aerial dispersal,Tetranychus urticae,two-spotted spider mite,Arachnida,selection lines and sib analysis,"selection lines crosses, full-sib",dispersal behavior was under weak maternal influence and non-dispersal may be slightly dominant. variation in aerial dispersal behavior is largely attributed to different sensitivity or resistance to evironmental stress and genetic variation may be maintained for dispersal wen food resources become depleted,probably not,,,,,,,,x,x,x,,,,x,,,x,not human
 J, COPEIA," DOHM, MR   GARLAND, TAF DOHM, MR   GARLAND, T", QUANTITATIVE GENETICS OF SCALE COUNTS IN THE GARTER SNAKE   THAMNOPHIS-SIRTALIS,,1993," This study addresses the quantitative genetic basis of phenotypic variation and covariation for a series of meristic traits in the garter snake Thamnophis sirtalis fitchi (six head scale counts: loreals, supra- and infralabials, pre- and postoculars, temporals; three body scale counts: ventrals, subcaudals, dorsal scale rows at midbody; two derived traits: umbilical scar size and position). Each trait was scored on approximately 540 offspring and their 47 dams captured in the wild while gravid. Correlations of the meristic traits with body mass at birth, dam's snout-vent length and body mass, litter size, and number of days each dam was held under laboratory conditions prior to giving birth were removed by computing residuals from multiple regression equations. Narrow-sense heritabilities (estimated by restricted maximum likelihood) of residuals were high for temporal scale counts (0.59), moderately large for ventral (0.29) and subcaudal scale counts (0.41), and low (in the range 0-0.12) for the other five traits. Probably as a consequence of the low statistical power of significance testing under restricted maximum likelihood, only the heritability for temporal scales was significantly different from zero. Phenotypic (r(p) = 0.25) and genetic (r(g) = 0.67) correlations between ventrals and subcaudals were positive and significant. Phenotypic correlations between the head scale counts were generally low; however, the genetic correlations were larger, suggesting relatively tight integration at the genetic level. Phenotypic correlations between the head and body scale counts were generally low, but several genetic correlations were large (e.g., r(g) = 0.59 for ventrals and infralabials, r(g) = 0.59 for subcaudals and supralabials). These data indicate that scale counts from different regions of the body are not evolutionarily independent characters, despite their different spatial and temporal relationships during development. Overall, genetic correlations were not strongly correlated with either phenotypic (r = 0.42) or environmental correlations (r = 0.16).",not behavior,Thamnophis sirtalis,garter snake,Reptilia,not behavior,,not behavior,no,,,,,,,,,,,,,,,,,,not human
 J, BURNS," MASON, S   HILLIER, VFAF MASON, S   HILLIER, VF"," YOUNG, SCARRED CHILDREN AND THEIR MOTHERS - A SHORT-TERM INVESTIGATION   INTO THE PRACTICAL, PSYCHOLOGICAL AND SOCIAL IMPLICATIONS OF   THERMAL-INJURY TO THE PRESCHOOL-CHILD .3. FACTORS INFLUENCING OUTCOME   RESPONSES",19,1993," The thermal injury, personal and social factors affecting the short-term outcome responses of thermally injured children under 5 years of age and their mothers are reported. Statistical analysis of factors influencing the mother and child outcome responses uses data from serial interviews with mothers of 57 thermally injured children which took place whilst the child was in hospital, and at home, at 1 week, 2 months and 6 months following hospital discharge. A relationship was found between the child's behaviour and the mother's outcome response at 6 months. Essentially, for the mother, the qualitative outcome response of the Maternal Thermal injury Response Pattern was associated with the severity of the child's thermal injury and Are quantitative General Health Questionnaire scores were associated with a preview tendency to depression and increased stress on the mother existing prior to the accident. For the child no thermal injury factor appeared to affect behavioural outcome. The child with disturbed behaviour following a thermal injury, however, was more likely to have a mother with a history of depression, and added stress (lower socioeconomic status, and additional worries) and have a mother who was blamed for the accident. Thus, mothers whose child has a more severe thermal injury will take longer to come to terms with if ('rationalize' the thermal injury) and those mothers who were most stressed prior to the accident and who had a previous tendency to depression, will have more psychiatric morbidity (a higher GHQ score) as a result. Both these groups will require particular support.",,,,,,,,,,,,,,,,,,,,,,,,,,human
